Team,goals1,goals2,goals3,goals4,goalsT,shots1,shots2,shots3,shots4,shotsT,Pen,PIM,PPG,PPO,FOW,FOL,FOW%,goals5,goals6,shots5,shots6,Game_ID
Rensselaer,1,2,1,0,4,9,8,6,0,23,7,14,0,1,31,35,46.969696969697,0,0,0,0,2025-01-11-Rensselaer-Clarkson
Clarkson,0,0,1,0,1,11,13,11,0,35,3,6,1,4,35,31,53.030303030303,0,0,0,0,2025-01-11-Rensselaer-Clarkson
Brown,1,1,0,0,2,5,9,7,0,21,2,4,1,3,28,26,51.8518518518519,0,0,0,0,2025-01-11-Brown-Dartmouth
Dartmouth,1,0,4,0,5,21,6,16,0,43,3,6,0,2,26,28,48.1481481481482,0,0,0,0,2025-01-11-Brown-Dartmouth
Yale,0,0,1,0,1,6,6,13,0,25,7,14,1,2,33,33,50.0,0,0,0,0,2025-01-11-Yale-Harvard
Harvard,0,2,1,0,3,9,14,9,0,32,4,8,0,6,33,33,50.0,0,0,0,0,2025-01-11-Yale-Harvard
Princeton,0,0,0,0,0,7,10,8,0,25,2,4,0,2,19,26,42.2222222222222,0,0,0,0,2025-01-11-Princeton-Quinnipiac
Quinnipiac,1,2,0,0,3,7,12,2,0,21,3,6,0,1,26,19,57.7777777777778,0,0,0,0,2025-01-11-Princeton-Quinnipiac
Union,5,0,3,0,8,11,8,11,0,30,6,12,3,4,24,36,40.0,0,0,0,0,2025-01-11-Union-St. Lawrence
St Lawrence,1,1,3,0,5,9,13,10,0,32,4,8,2,6,36,24,60.0,0,0,0,0,2025-01-11-Union-St. Lawrence
