Team,goals1,goals2,goals3,goals4,goalsT,shots1,shots2,shots3,shots4,shotsT,Pen,PIM,PPG,PPO,FOW,FOL,FOW%,goals5,goals6,shots5,shots6,Game_ID
Penn State,0,2,1,0,3,16,10,10,0,36,6,12,0,3,37,29,56.0606060606061,0,0,0,0,2025-01-05-Penn State-Notre Dame
Notre Dame,0,0,0,0,0,12,9,13,0,34,4,8,0,5,29,37,43.9393939393939,0,0,0,0,2025-01-05-Penn State-Notre Dame
Stonehill,1,0,0,0,1,8,2,4,0,14,4,11,0,3,22,38,36.6666666666667,0,0,0,0,2025-01-06-Stonehill-Quinnipiac
Quinnipiac,0,3,3,0,6,10,21,12,0,43,4,8,3,4,38,22,63.3333333333333,0,0,0,0,2025-01-06-Stonehill-Quinnipiac
Army,0,1,1,0,2,17,11,23,0,51,3,6,0,4,31,33,48.4375,0,0,0,0,2025-01-07-Army-American Int'l
American Intl,3,2,3,0,8,11,16,17,0,44,5,10,2,2,33,31,51.5625,0,0,0,0,2025-01-07-Army-American Int'l
Providence,0,0,2,0,2,11,15,16,0,42,2,4,2,4,40,27,59.7014925373134,0,0,0,0,2025-01-07-Providence-Brown
Brown,0,0,0,0,0,17,5,7,0,29,4,8,0,2,27,40,40.2985074626866,0,0,0,0,2025-01-07-Providence-Brown
Minnesota,0,0,1,0,1,7,13,10,0,30,4,19,0,2,33,31,51.5625,0,0,0,0,2025-01-10-Minnesota-Ohio State
Ohio State,1,1,3,0,5,7,13,10,0,30,4,19,2,3,31,33,48.4375,0,0,0,0,2025-01-10-Minnesota-Ohio State
Michigan State,1,2,3,0,6,18,15,12,0,45,4,8,2,5,43,44,49.4252873563218,0,0,0,0,2025-01-10-Michigan State-Penn State
Penn State,2,1,1,0,4,8,14,11,0,33,5,13,0,2,44,43,50.5747126436782,0,0,0,0,2025-01-10-Michigan State-Penn State
Michigan,2,3,0,0,5,12,14,7,0,33,2,4,2,2,28,32,46.6666666666667,0,0,0,0,2025-01-10-Michigan-Notre Dame
Notre Dame,2,1,0,0,3,12,6,13,0,31,3,6,1,1,32,28,53.3333333333333,0,0,0,0,2025-01-10-Michigan-Notre Dame
Alaska Anchorage,1,1,0,0,2,5,13,12,0,30,6,12,0,2,15,31,32.6086956521739,0,0,0,0,2025-01-10-Alaska Anchorage-Niagara
Niagara,2,3,1,0,6,12,13,8,0,33,3,6,2,5,31,15,67.3913043478261,0,0,0,0,2025-01-10-Alaska Anchorage-Niagara
Long Island,0,1,0,0,1,10,8,9,0,27,5,10,1,5,29,22,56.8627450980392,0,0,0,0,2025-01-10-Long Island-Colgate
Colgate,0,1,1,0,2,11,9,7,0,27,5,10,0,5,22,29,43.1372549019608,0,0,0,0,2025-01-10-Long Island-Colgate
Lindenwood,1,0,2,0,3,11,9,11,0,31,2,4,0,3,44,33,57.1428571428571,0,0,0,0,2025-01-10-Lindenwood-Stonehill
Stonehill,0,0,0,0,0,10,7,6,0,23,3,6,0,2,33,44,42.8571428571429,0,0,0,0,2025-01-10-Lindenwood-Stonehill
Cornell,1,0,0,0,1,9,13,12,7,41,2,4,0,5,32,21,60.377358490566,0,0,0,0,2025-01-10-Cornell-Sacred Heart
Sacred Heart,1,0,0,0,1,5,6,6,1,18,5,10,0,2,21,32,39.622641509434,0,0,0,0,2025-01-10-Cornell-Sacred Heart
RIT,2,0,0,0,2,10,13,9,0,32,6,12,0,1,36,24,60.0,0,0,0,0,2025-01-10-RIT-Canisius
Canisius,1,2,2,0,5,18,10,12,0,40,2,4,0,4,24,36,40.0,0,0,0,0,2025-01-10-RIT-Canisius
Robert Morris,0,0,1,0,1,11,4,9,0,24,2,4,0,3,31,30,50.8196721311475,0,0,0,0,2025-01-10-Robert Morris-Holy Cross
Holy Cross,0,1,3,0,4,7,9,11,0,27,3,6,0,2,30,31,49.1803278688525,0,0,0,0,2025-01-10-Robert Morris-Holy Cross
Mercyhurst,0,0,1,0,1,6,10,10,0,26,6,23,0,1,32,42,43.2432432432432,0,0,0,0,2025-01-10-Mercyhurst-Army
Army,5,2,2,0,9,26,14,13,0,53,5,10,0,3,42,32,56.7567567567568,0,0,0,0,2025-01-10-Mercyhurst-Army
Bentley,0,0,1,0,1,9,10,11,0,30,3,6,0,4,37,36,50.6849315068493,0,0,0,0,2025-01-10-Bentley-Air Force
Air Force,0,0,0,0,0,10,16,7,0,33,5,13,0,2,36,37,49.3150684931507,0,0,0,0,2025-01-10-Bentley-Air Force
Union,2,1,0,0,3,7,5,8,0,20,3,6,0,2,33,28,54.0983606557377,0,0,0,0,2025-01-10-Union-Clarkson
Clarkson,1,2,2,0,5,11,12,14,0,37,2,4,1,3,28,33,45.9016393442623,0,0,0,0,2025-01-10-Union-Clarkson
Brown,1,0,0,0,1,6,7,14,0,27,6,23,1,3,24,36,40.0,0,0,0,0,2025-01-10-Brown-Harvard
Harvard,1,1,1,0,3,7,12,10,0,29,4,8,1,4,36,24,60.0,0,0,0,0,2025-01-10-Brown-Harvard
Quinnipiac,2,1,1,0,4,14,9,11,0,34,3,6,2,4,30,21,58.8235294117647,0,0,0,0,2025-01-10-Quinnipiac-Princeton
Princeton,0,1,1,0,2,7,7,4,0,18,4,8,0,2,21,30,41.1764705882353,0,0,0,0,2025-01-10-Quinnipiac-Princeton
Rensselaer,0,0,1,0,1,11,12,15,0,38,3,6,1,3,34,40,45.945945945946,0,0,0,0,2025-01-10-Rensselaer-St. Lawrence
St Lawrence,2,0,2,0,4,12,12,8,0,32,3,6,0,3,40,34,54.0540540540541,0,0,0,0,2025-01-10-Rensselaer-St. Lawrence
Yale,2,0,1,0,3,9,6,7,0,22,5,18,0,2,26,30,46.4285714285714,0,0,0,0,2025-01-10-Yale-Dartmouth
Dartmouth,1,0,1,0,2,10,11,14,0,35,5,18,1,2,30,26,53.5714285714286,0,0,0,0,2025-01-10-Yale-Dartmouth
Vermont,0,0,1,0,1,11,7,10,0,28,5,10,0,3,31,27,53.448275862069,0,0,0,0,2025-01-10-Vermont-Boston University
Boston University,3,2,1,0,6,8,15,5,0,28,3,6,2,5,27,31,46.551724137931,0,0,0,0,2025-01-10-Vermont-Boston University
Connecticut,1,1,2,0,4,12,9,4,0,25,3,6,2,6,18,32,36.0,0,0,0,0,2025-01-10-Connecticut-New Hampshire
New Hampshire,0,0,1,0,1,8,12,8,0,28,7,25,1,3,32,18,64.0,0,0,0,0,2025-01-10-Connecticut-New Hampshire
Massachusetts,1,1,3,0,5,13,10,7,0,30,4,8,0,2,34,43,44.1558441558442,0,0,0,0,2025-01-10-Massachusetts-Northeastern
Northeastern,0,0,0,0,0,7,17,17,0,41,2,4,0,4,43,34,55.8441558441558,0,0,0,0,2025-01-10-Massachusetts-Northeastern
Merrimack,0,3,2,0,5,8,7,13,0,28,2,4,1,3,37,31,54.4117647058823,0,0,0,0,2025-01-10-Merrimack-Boston College
Boston College,1,1,0,0,2,8,6,15,0,29,4,8,0,1,31,37,45.5882352941176,0,0,0,0,2025-01-10-Merrimack-Boston College
Maine,0,1,2,0,3,7,12,8,0,27,3,6,0,0,22,22,50.0,0,0,0,0,2025-01-10-Maine-Mass. Lowell
Mass Lowell,0,1,0,0,1,12,8,7,0,27,1,2,0,2,22,22,50.0,0,0,0,0,2025-01-10-Maine-Mass. Lowell
Miami,0,1,0,0,1,7,4,8,0,19,5,21,0,4,22,42,34.375,0,0,0,0,2025-01-10-Miami-Denver
Denver,0,2,2,0,4,13,13,10,0,36,5,10,2,5,42,22,65.625,0,0,0,0,2025-01-10-Miami-Denver
Colorado College,0,2,0,0,2,13,16,15,0,44,4,8,0,2,33,32,50.7692307692308,0,0,0,0,2025-01-10-Colorado College-Omaha
Omaha,1,2,2,0,5,10,10,9,0,29,3,6,1,3,32,33,49.2307692307692,0,0,0,0,2025-01-10-Colorado College-Omaha
St Cloud State,0,0,0,0,0,6,14,8,0,28,2,4,0,2,27,19,58.695652173913,0,0,0,0,2025-01-10-St. Cloud State-Minnesota Duluth
Minnesota Duluth,0,1,1,0,2,10,15,9,0,34,2,4,0,2,19,27,41.304347826087,0,0,0,0,2025-01-10-St. Cloud State-Minnesota Duluth
North Dakota,0,1,0,0,1,8,14,6,0,28,4,8,0,2,25,21,54.3478260869565,0,0,0,0,2025-01-10-North Dakota-Arizona State
Arizona State,2,0,2,0,4,10,10,11,0,31,2,4,1,4,21,25,45.6521739130435,0,0,0,0,2025-01-10-North Dakota-Arizona State
Bemidji State,0,1,2,0,3,5,8,13,1,27,0,0,1,4,32,32,50.0,0,0,0,0,2025-01-10-Bemidji State-Bowling Green
Bowling Green,1,0,2,1,4,5,3,10,2,20,4,8,0,0,32,32,50.0,0,0,0,0,2025-01-10-Bemidji State-Bowling Green
Lake Superior,0,2,2,0,4,6,6,6,0,18,3,6,0,2,26,31,45.6140350877193,0,0,0,0,2025-01-10-Lake Superior-Michigan Tech
Michigan Tech,0,2,0,0,2,5,17,17,0,39,2,4,1,3,31,26,54.3859649122807,0,0,0,0,2025-01-10-Lake Superior-Michigan Tech
Minnesota State,0,1,1,0,2,10,8,9,0,27,4,19,1,6,26,37,41.2698412698413,0,0,0,0,2025-01-10-Minnesota State-Northern Michigan
Northern Michigan,1,1,1,0,3,5,9,9,0,23,6,12,2,3,37,26,58.7301587301587,0,0,0,0,2025-01-10-Minnesota State-Northern Michigan
Ferris State,3,1,2,0,6,7,11,14,0,32,5,10,1,5,38,27,58.4615384615385,0,0,0,0,2025-01-10-Ferris State-St. Thomas
St Thomas,6,0,3,0,9,13,9,12,0,34,5,21,3,4,27,38,41.5384615384615,0,0,0,0,2025-01-10-Ferris State-St. Thomas
New Hampshire,0,1,1,0,2,7,10,11,0,28,5,21,2,6,43,20,68.2539682539683,0,0,0,0,2025-01-11-New Hampshire-Connecticut
Connecticut,1,2,0,0,3,10,17,9,0,36,6,12,1,4,20,43,31.7460317460317,0,0,0,0,2025-01-11-New Hampshire-Connecticut
Vermont,1,1,2,0,4,10,9,11,0,30,6,12,0,3,28,36,43.75,0,0,0,0,2025-01-11-Vermont-Boston University
Boston University,1,2,4,0,7,13,11,10,0,34,5,10,2,4,36,28,56.25,0,0,0,0,2025-01-11-Vermont-Boston University
