PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Frank Ireland,Stonehill,36,9,9,18,F,So. ,Longmeadow,Massachusetts,5'11 / 185,Stonehill,Stonehill leading scorer. Entered portal but returning,Independent,,3/27/2024
Cole Hudson,AIC,1,1.97,0.889,0,G,Jr.,Tonawanda,New York,6'1 / 174,SUNY Brockport,Two-time transfer. Also played at Vermont. ,Atlantic,DIII,4/15/2024
Charlie Merkley,Robert Morris,9,0,0,0,F,Fr.,Fairport,New York,5'9 / 194,SUNY-Cortland,,Atlantic,DIII,3/22/2024
Filip Wiberg,Alaska,3,1,0,1,F,Fr.,Trondheim,Norway,6'2 / 201,SUNY-Geneseo,,Independent,DIII,4/16/2024
Mitch LaFay,Alaska-Anchorage,1,0,0,0,F,Fr.,"Stratford, ON",Canada,6'6 / 209,Toronto Metropolitan,,Independent,USports,4/1/2024
Matt Kinash,Alaska-Anchorage,18,2,4,6,F,Sr.,"Edmonton, AB",Canada,6'0 / 185,Toronto Metropolitan,Two-time transfer. Also played at UML.,Independent,USports,4/1/2024
Nikita Borodayenko,Merrimack,12,0,1,1,F,So.,Dmitrov ,Russia,5'11 / 187,U of Dubuque,,Hockey East,DIII,3/31/2024
Mark Cooper,UMass Lowell,23,1,3,4,D,So.,"Cambridge, ON",Canada,5'11 / 176,U of Toronto,,Hockey East,USports,3/31/2024
Tyler Muszelik,New Hampshire,8,3.38,0.874,5,G,So.,Long Valley,New Jersey,6'3 / 194,UConn,2022 6th round pick of FLA.,Hockey East,Hockey East,4/2/2024
Viking Gustafsson Nyberg ,Northern Michigan,33,2,1,3,D,Fr.,Stockholm,Sweden,6'6 / 205,UConn,,CCHA,Hockey East,6/28/2024
Nicholas Carabin,Princeton,27,5,12,17,D,Sr.,Mahwah,New Jersey,5'10 / 174,UConn,,ECAC,Hockey East,3/15/2024
Hugh Larkin,Western Michigan,37,5,4,9,F,Sr.,Livonia,Michigan,6'2 / 205,UConn,,NCHC,Hockey East,5/5/2024
Pierson Brandon,Colgate,34,5,10,15,D,Sr.,New York,New York,6'0 / 190,UMass Lowell,,ECAC,Hockey East,3/19/2024
Nick Anderson,Colgate,36,2,19,21,D,Sr.,Independence,Minnesota,5'10 / 165,UMass Lowell,,ECAC,Hockey East,3/20/2024
Jack Robilotti,Holy Cross,35,3,6,9,D,Sr.,New York,New York,6'3 / 194,UMass Lowell,,Atlantic,Hockey East,3/19/2024
Beni Halasz,Northern Michigan,28,2.84,0.901,9,G,So.,Budapest,Hungary,6'0 / 181,UMass Lowell,,CCHA,Hockey East,4/3/2024
Connor Eddy,Northern Michigan,34,7,6,13,F,So.,"Victoria, BC",Canada,6'1 / 201,UMass Lowell,,CCHA,Hockey East,6/13/2024
Ian Carpentier,Yale,26,8,6,14,F,Sr.,Worcester,Massachusetts,6'0 / 174,UMass Lowell,,ECAC,Hockey East,3/15/2024
Dylan Robbins,Sacred Heart,35,0,2,2,F,So.,Alpine,New Jersey,6'0 / 174,UMB,,Atlantic,DIII,4/3/2024
Parker Lindauer,Maine,16,1,1,2,F,So.,Madison,Wisconsin,5'11 / 172,Union,,Hockey East,ECAC,4/2/2024
Brendan Miles,Michigan,6,0,0,0,D,So.,Farmington Hills,Michigan,6'1 / 176,Union,,Big 10,ECAC,4/22/2024
Kieran Ruscheinski,Lindenwood,17,1,3,4,D,So.,"Calgary, AB",Canada,6'6 / 209,Univ. of Waterloo,2019 7th round pick of MTL.,Independent,USports,3/22/2024
Henry Levy,Arizona State,-,-,-,-,G,Fr.,Salt Lake City,Utah,5'11 / 181,Utah,,Independent,ACHA,3/15/2024
Sebastian Tornqvist,Massachusetts,14,0,3,3,D,Fr.,Everlov,Sweden,5'11 / 187,Vermont,,Hockey East,Hockey East,4/1/2024
Keenan Rancier,Minnesota State,12,2.44,0.91,5,G,Jr.,"Victoria, BC",Canada,6'2 / 183,Vermont,,CCHA,Hockey East,4/16/2024
Brian Kramer,AIC,35,10,12,22,D,Sr.,Wexford,Pennsylvania,5'11 / 181,Western Michigan,Two-time transfer. Also played at RMU.,Atlantic,NCHC,4/6/2024
Tristan Lemyre,Denver,24,2,4,6,F,So.,"Mirabel, QC",Canada,5'9 / 170,Western Michigan,,NCHC,NCHC,4/18/2024
Jack Mesic,Ferris State,36,2,8,10,D,Fr.,Plymouth ,Michigan,5'11 / 185,Western Michigan,His brother plays at NMU.,CCHA,NCHC,4/15/2024
Robby Drazner,Miami,33,2,1,3,D,Sr.,Buffalo Grove,Illinois,6'1 / 194,Western Michigan,,NCHC,NCHC,4/8/2024
Grant Slukynsky,Northern Michigan,34,6,3,9,F,Fr.,Warroad,Minnesota,6'1 / 198,Western Michigan,,CCHA,NCHC,6/17/2024
Liam Valente,Providence,29,4,5,9,F,So.,Marsta,Sweden ,5'11 / 183,Western Michigan,,Hockey East,NCHC,3/31/2024
Ryland Mosley,Michigan Tech,40,18,15,33,F,Sr.,"Arnprior, ON",Canada,5'11 / 190,Wisconsin,,CCHA,Big 10,4/1/2024
Kyle Kukkonen,Michigan Tech,27,1,11,12,F,So.,Maple Grove,Minnesota,5'10 / 174,Wisconsin,2021 6th round pick of ANA.,CCHA,Big 10,4/3/2024
Tommy Scarfone,RIT,36,2.26,0.925,25,G,Jr.,"Montreal, QC ",Canada,6'0 / 174,Wisconsin,,Atlantic,Big 10,3/31/2024
Cody Laskosky,RIT,37,14,27,41,F,Sr.,"Camrose, AB",Canada,5'11 / 181,Wisconsin,Tied for leading scorer at RIT,Atlantic,Big 10,4/25/2024
Sam Brennan,Air Force,36,3,4,7,D,Sr.,Brighton,Michigan,6'0 / 201,WITHDRAWN,,Atlantic,,3/22/2024
Michael Mesic,Northern Michigan,26,4,5,9,F,Fr.,Plymouth,Michigan,5'11 / 179,Youngstown (USHL),Heading back to USHL for 2024-25,CCHA,USHL,6/12/2024
,,"23-24 Stats( GAA, SV%, Wins for Goalies)",,,,,,,,,,,,,
Andrew Amousse,AIC,10,1,0,1,F,So.,"Laval, QC",Canada,6'3 / 214,,,Atlantic,,4/2/2024
Jake Sacratini,AIC,2,0,0,0,F,So.,"Pincourt, QC",Canada,5'9 / 165,,,Atlantic,,4/13/2024
Luke Robinson,Air Force,38,2,7,9,D,Sr.,Dublin,California,6'3 / 205,,,Atlantic,,3/15/2024
Edvards Bergmanis,Alaska,2,0,0,0,F,Fr.,Riga ,Latvia,5'10 / 170,,,Independent,,3/31/2024
Derek Pys,Alaska,4,0,1,1,D,Fr.,"Ayr, ON",Canada,6'0 / 172,,,Independent,,4/16/2024
Carter Belitski,Alaska-Anchorage,14,0,1,1,F,So.,"Regina, SK",Canada,6'1 / 181,,,Independent,,4/1/2024
Dayne Hoyord,Army,-,-,-,-,F,Fr.,Scandinavia,Wisconsin,5'10 / 194,,,Atlantic,,4/3/2024
Ethan Perrault,Augustana,-,-,-,-,D,Fr.,Tipp City,Ohio,6'3 / 190,,,CCHA,,5/10/2024
Joshua Seeley,Bentley,-,-,-,-,G,So.,Trenton,Michigan,6'4 / 201,,,Atlantic,,3/18/2024
Gentry Shamburger,Boston College,30,1,1,2,F,Sr.,Atlanta,Georgia,6'0 / 196,,,Hockey East,,5/2/2024
Gavin Puskar,Brown,26,0,0,0,F,Sr.,Westfield,New Jersey,6'1 / 190,,Two-time transfer. Also played at UConn.,ECAC,,3/19/2024
Matt Sutton,Brown,24,3,5,8,F,Sr.,Gibsonia,Pennsylvania,6'0 / 190,,,ECAC,,3/21/2024
Sebastian Tamburro,Colgate,13,1,4,5,F,So.,"Toronto, ON",Canada,5'10 / 179,,,ECAC,,4/1/2024
Tyler Coffey,Colorado College,24,5,0,5,F,Sr.,Hamilton,New Jersey,5'10 / 179,,,NCHC,,3/27/2024
Nikolai Charchenko,Colorado College,-,-,-,-,D,So.,Victoria,Minnesota,6'2 / 209,,,NCHC,,4/1/2024
Ryan Sorkin,Dartmouth,31,1,3,4,F,Jr.,Chicago,Illinois,5'10 / 174,,,ECAC,,3/31/2024
Ben Schultheis,Ferris State,21,0,1,1,D,Sr.,Mount Juliet,Tennessee,6'3 / 205,,,CCHA,,3/21/2024
Max Miller,Harvard,-,-,-,-,G,Sr.,Ann Arbor,Michigan,6'2 / 181,,,ECAC,,3/25/2024
Charlie Spence,Holy Cross,14,0,1,1,D,So.,Boston,Massachusetts,6'0 / 185,,,Atlantic,,4/18/2024
Will Hakansson,Lake Superior State,4,4.83,0.833,1,G,Fr.,Oskarshamn,Sweden,6'0 / 179,,,CCHA,,5/9/2024
Cade DeStefani,Lindenwood,9,2,2,4,F,So.,Bedford,New Hampshire,6'2 / 185,,,Independent,,4/1/2024
Cole Teleki,Lindenwood,-,-,-,-,D,Fr.,Dallas,Texas,6'2 / 194,,,Independent,,5/25/2024
Preston Brodziak,Long Island,29,3,3,6,F,Sr.,"Estevan, SK",Canada,6'0 / 185,,,Independent,,3/19/2024
Kade Peterson,Long Island,9,0,0,0,F,Fr.,West Fargo,North Dakota,6'1 / 190,,,Indenpendent,,4/1/2024
Cole Brady,Massachusetts,9,3.03,0.886,4,G,Sr.,"Pickering, ON",Canada,6'5 / 181,,Two-time transfer (ASU). 2019 5th round pick of NJD. ,Hockey East,,4/30/2024
Jackson McCarthy,Mercyhurst,-,-,-,-,D,Fr.,West Seneca,New York,6'1 / 205,,,Atlantic,,4/2/2024
Tyler Gaulin ,Mercyhurst,8,0,0,0,F,So.,Kingston,New Hampshire,6'0 / 179,,,Atlantic,,4/3/2024
Steven Bacovsky,Merrimack,-,-,-,-,G,So.,"Calgary, AB",Canada,6'1 / 190,,,Hockey East,,4/2/2024
Jon Mor ,Michigan State,-,-,-,-,G,Sr.,Highland Park,Illinois,6'2 / 201,,,Big 10,,4/1/2024
Michael Morelli,Michigan Tech,-,-,-,-,G,So.,Arvada,Colorado,5'11 / 179,,,CCHA,,4/1/2024
Jeremy Forman,New Hampshire,-,-,-,-,G,Sr.,Northbrook,Illinois,5'10 / 161,,,Hockey East,,4/1/2024
Max Ruoho,Niagara,11,0,1,1,D,So.,Madison,Wisconsin,6'0 / 174,,,Atlantic,,4/2/2024
Steven Kesslering,Niagara,-,-,-,-,F,Fr.,"Viceroy, SK",Canada,5'11 / 190,,,Atlantic,,4/2/2024
Travis Hensrud,Northern Michigan,-,-,-,-,F,Fr.,"Thunder Bay, ON",Canada,5'11 / 179,,,CCHA,,3/31/2024
Mackenzie Merriman,Princeton,27,0,0,0,F,Sr.,"White Rock, BC",Canada,5'11 / 190,,,ECAC,,3/15/2024
Joe Berg,Princeton,30,2,2,4,F,Sr.,Plano,Texas,5'11 / 181,,,ECAC,,3/15/2024
Jake Martin,Quinnipiac,25,0,1,1,D,So.,White Bear Lake ,Minnesota,6'0 / 187,,Two-time transfer. Also played at Wisconsin.,ECAC,,4/3/2024
Matthew Boczar,Robert Morris,11,1,1,2,F,Fr.,Sewell,New Jersey,6'1 / 165,,,Atlantic,,3/22/2024
Michael Sochan,Robert Morris,-,-,-,-,G,Fr.,Redwood City,California,6'1 / 179,,,Atlantic,,3/22/2024
Jack Brackett,RPI,33,1,8,9,F,Jr.,Manassas,Virginia,5'10 / 181,,,ECAC,,4/8/2024
Grant Adams,St. Lawrence,2,4.12,0.844,0,G,Sr.,Niles,Michigan,6'2 / 194,,,ECAC,,3/19/2024
Anthony Mollica,St. Lawrence,5,0,1,1,D,So.,Jenison,Michigan,6'3 / 216,,,ECAC,,3/29/2024
Cam Recchi,St. Thomas,5,1,0,1,F,Jr.,Pittsburgh,Pennsylvania,5'10 / 165,,,CCHA,,3/31/2024
Tim Piechowski,St. Thomas,20,3,1,4,F,Jr.,Eden Prairie,Minnesota,6'2 / 209,,,CCHA,,4/9/2024
Max Pineo,Stonehill,31,3,2,5,F,Sr.,North Reading,Massachusetts,5'9 / 183,,Played both DIII and DI at Stonehill.,Independent,,3/19/2024
Jack Shemligian,Stonehill,3,0,0,0,D,So.,Southborough,Massachusetts,6'0 / 190,,,Independent,,3/21/2024
Mark D'Agostino,UConn,-,-,-,-,F,So.,North Branford,Connecticut,6'0 / 181,,,Hockey East,,3/28/2024
Lucas Jones,Vermont,6,0,0,0,D,So.,"Calgary, AB",Canada,6'4 / 205,,,Hockey East,,4/18/2024
Nathan Reid,Yale,10,4.12,0.856,2,G,Sr.,Sun Prairie ,Wisconsin,6'2 / 194,,,ECAC,,3/15/2024
Rhett Pitlick,Minnesota,39,19,17,36,F,Sr.,Chaska,Minnesota,5'10 / 165,,Not added to Minn St roster as of 9/24/2024 - doing it manually,CCHA,,9/19/2024
,,,,,,,,,,,,,,,
