PLAYER,2023/24 TEAM,GP,G,A,P,POS.,YR.,HOMETOWN,STATE/COUNTRY,HT/WT,DESTINATION TEAM,NOTABLE INFO,23/24 CONFERENCE,NEW CONFERENCE,DATE ADDED TO LIST
Grayson Dietrich,AIC,19,2,1,3,F,So.,"Calgary, AB",Canada,6'2 / 185,Niagara,,Atlantic,Atlantic,4/4/2024
Pierce Charleson,Alaska,29,2.46,0.9,13,G,Sr.,"Aurora, ON",Canada,6'2 / 194,Niagara,Two-time transfer. Also played at Michigan State.,Independent,Atlantic,3/25/2024
Ross Roloson,Lake Superior State,37,4,10,14,D,Fr.,Woodbury,Minnesota,5'11 / 172,Niagara,,CCHA,Atlantic,4/11/2024
Brett Roloson,Lake Superior State,15,1,5,6,F,Jr.,Worcester,Massachusetts,5'11 / 161,Niagara,,CCHA,Atlantic,4/11/2024
Kyler Kleven,Minnesota Duluth,25,1,2,3,F,Jr.,Moorhead,Minnesota,5'11 / 172,Niagara,,NCHC,Atlantic,3/31/2024
Braden Doyle,Northeastern,13,1,0,1,D,Jr.,Lynnfield,Massachusetts,5'11 / 185,Niagara,2019 6th round pick of LAK. Two-time transfer.,Hockey East,Atlantic,3/31/2024
Luke Strickland,Long Island,1,0,0,0,F,Fr.,"Keswick, ON",Canada,6'0 / 192,Nipissing,,Independent,USports,4/1/2024
Ben Brunette,UMass Lowell,13,1,0,1,D,Fr.,"North Bay, ON",Canada,6'0 / 192,Nipissing,,Hockey East,USports,4/1/2024
Caleb MacDonald,Alaska,31,4,10,14,D,Fr.,"Cambridge, ON",Canada,6'4 / 220,North Dakota,,Independent,NCHC,3/31/2024
TJ Semptimphelter,Arizona State,26,2.52,0.908,16,G,Jr.,Marlton,New Jersey,6'1 / 190,North Dakota,Two-time transfer. Also played at Northeastern.,Independent,NCHC,4/1/2024
Carter Wilkie,RIT,40,16,25,41,F,Jr.,"Calgary, AB",Canada,6'2 / 201,North Dakota,Tied for leading scorer at RIT,Atlantic,NCHC,3/30/2024
Ryan McGuire,Colgate,34,14,12,26,F,Jr.,"Ste-Agathe, QC",Canada,6'2 / 183,Northeastern,,ECAC,Hockey East,4/1/2024
Jake Higgins,Holy Cross,31,5,4,9,D,Sr.,Hingham,Massachusetts,6'2 / 205,Northeastern,,Atlantic,Hockey East,3/19/2024
Jake Boltmann,Notre Dame,30,0,2,2,D,Sr.,Edina,Minnesota,6'1 / 187,Northeastern,2020 3rd round pick of CGY.,Big 10,Hockey East,4/3/2024
Joaquim Lemay,Omaha,37,5,13,18,D,So.,"St-Pierre, QC",Canada,6'1 / 185,Northeastern,2021 4th round pick of WSH.,NCHC,Hockey East,4/4/2024
