Date,Home_Team,Away_Team,game_id_number
2022/10/01,Lindenwood,Minnesota,6044461
2022/10/01,Niagara,Canisius,6048277
2022/10/01,Ferris St.,Miami (OH),6044467
2022/10/01,St. Lawrence,UMass Lowell,6044471
2022/10/01,Bowling Green,Northern Mich.,6044475
2022/10/01,St. Cloud St.,St. Thomas (MN),6044470
2022/10/01,Arizona St.,Minn. Duluth,6044468
2022/10/01,TBA,Clarkson,6044477
2022/10/01,UConn,Vermont,6044478
2022/10/01,RIT,Union (NY),6044479
2022/10/01,Ohio St.,Mercyhurst,6044480
2022/10/01,Minnesota St.,Omaha,6044474
2022/10/01,LIU,Northeastern,6044482
2022/10/01,Western Mich.,Alas. Anchorage,6045492
2022/10/01,American Int'l,Alas. Fairbanks,6044481
2022/10/01,Sacred Heart,Massachusetts,6044464
2022/10/01,Bentley,Boston U.,6044463
2022/10/01,Boston College,Holy Cross,6044476
2022/10/01,Windsor (CAN),Michigan,6044462
2022/10/02,Lindenwood,Minnesota,6044483
2022/10/02,Ferris St.,Miami (OH),6044485
2022/10/02,Western Univ. (CAN),Sacred Heart,6044486
2022/10/02,Union (NY),Army West Point,6044487
2022/10/02,UConn,Vermont,6044488
2022/10/02,Ohio St.,Mercyhurst,6044491
2022/10/02,Arizona St.,Minn. Duluth,6044489
2022/10/02,St. Thomas (MN),St. Cloud St.,6044490
2022/10/02,Bowling Green,Northern Mich.,6044493
2022/10/02,American Int'l,Alas. Fairbanks,6044492
2022/10/02,Western Mich.,Alas. Anchorage,6045505
2022/10/03,Lakehead (CAN),Michigan Tech,6044494
2022/10/07,Minnesota St.,Minnesota,6044495
2022/10/07,Notre Dame,Denver,6044500
2022/10/07,Union (NY),UConn,6044506
2022/10/07,Canisius,Penn St.,6044505
2022/10/07,Mercyhurst,Rensselaer,6044509
2022/10/07,Northern Mich.,Colgate,6044508
2022/10/07,Army West Point,RIT,6044507
2022/10/07,Sacred Heart,Providence,6044504
2022/10/07,New Hampshire,Clarkson,6044503
2022/10/07,Merrimack,St. Lawrence,6044502
2022/10/07,Quinnipiac,Boston College,6044501
2022/10/07,Wisconsin,Ohio St.,6044499
2022/10/07,Lindenwood,Michigan,6044496
2022/10/07,Miami (OH),UMass Lowell,6044515
2022/10/07,Niagara,Omaha,6044513
2022/10/07,Alas. Fairbanks,St. Thomas (MN),6044514
2022/10/07,Holy Cross,North Dakota,6044510
2022/10/07,Arizona St.,Bemidji St.,6044511
2022/10/07,Maine,Air Force,6044517
2022/10/07,Alas. Anchorage,Colorado Col.,6044516
2022/10/07,Bowling Green,Michigan St.,6044498
2022/10/07,Michigan Tech,Ferris St.,6044512
2022/10/07,Vermont,Northeastern,6044497
2022/10/08,Union (NY),UConn,6044524
2022/10/08,Northern Mich.,Colgate,6044525
2022/10/08,Wisconsin,Ohio St.,6044521
2022/10/08,Army West Point,RIT,6044526
2022/10/08,Canisius,Penn St.,6044527
2022/10/08,Miami (OH),UMass Lowell,6044530
2022/10/08,Lindenwood,Michigan,6044518
2022/10/08,Mercyhurst,Rensselaer,6044537
2022/10/08,New Hampshire,St. Lawrence,6044535
2022/10/08,Merrimack,Clarkson,6044536
2022/10/08,Western Mich.,Ferris St.,6044540
2022/10/08,Holy Cross,North Dakota,6044531
2022/10/08,Minnesota,Minnesota St.,6044532
2022/10/08,Arizona St.,Bemidji St.,6044533
2022/10/08,Alas. Fairbanks,St. Thomas (MN),6044534
2022/10/08,Michigan St.,Bowling Green,6044539
2022/10/08,Maine,Denver,6044529
2022/10/08,Alas. Anchorage,Colorado Col.,6044528
2022/10/08,Notre Dame,Air Force,6044538
2022/10/08,Niagara,Omaha,6044541
2022/10/08,Massachusetts,American Int'l,6044520
2022/10/08,Waterloo (CAN),Boston U.,6044523
2022/10/08,LIU,Stonehill,6044522
2022/10/08,Vermont,Northeastern,6044519
2022/10/09,LIU,Quinnipiac,6044542
2022/10/13,Clarkson,Providence,6044545
2022/10/13,Mercyhurst,Penn St.,6044546
2022/10/13,Sacred Heart,Holy Cross,6044547
2022/10/13,Bentley,Union (NY),6044548
2022/10/13,Michigan Tech,Alas. Fairbanks,6044549
2022/10/13,UMass Lowell,Michigan St.,6044543
2022/10/13,Bowling Green,Western Mich.,6044544
2022/10/14,Boston U.,Michigan,6079514
2022/10/14,Penn St.,Mercyhurst,6044557
2022/10/14,Colorado Col.,St. Lawrence,6044558
2022/10/14,Sacred Heart,Holy Cross,6044559
2022/10/14,LIU,Rensselaer,6044560
2022/10/14,Ohio St.,UConn,6044553
2022/10/14,Western Mich.,Bowling Green,6044561
2022/10/14,Canisius,Ferris St.,6044565
2022/10/14,Omaha,Lake Superior St.,6044562
2022/10/14,Northern Mich.,Notre Dame,6044550
2022/10/14,St. Cloud St.,Wisconsin,6044555
2022/10/14,TBA,St. Thomas (MN),6079463
2022/10/14,Quinnipiac,North Dakota,6044563
2022/10/14,Minn. Duluth,Minnesota St.,6044564
2022/10/14,Air Force,Lindenwood,6044567
2022/10/14,Colgate,Arizona St.,6045490
2022/10/14,UNLV,Alas. Anchorage,6048396
2022/10/14,Michigan Tech,Alas. Fairbanks,6044566
2022/10/14,American Int'l,Niagara,6044554
2022/10/14,Denver,Massachusetts,6044556
2022/10/14,UMass Lowell,Michigan St.,6044552
2022/10/15,Air Force,Lindenwood,6044572
2022/10/15,Ohio St.,UConn,6044568
2022/10/15,Maine,Bentley,6044573
2022/10/15,Omaha,Lake Superior St.,6044574
2022/10/15,Union (NY),RIT,6044579
2022/10/15,Colorado Col.,St. Lawrence,6044577
2022/10/15,Boston College,New Hampshire,6044578
2022/10/15,Army West Point,Rensselaer,6044580
2022/10/15,Quinnipiac,North Dakota,6044575
2022/10/15,Minn. Duluth,Minnesota St.,6044576
2022/10/15,Canisius,Ferris St.,6044581
2022/10/15,Providence,Northeastern,6044582
2022/10/15,St. Cloud St.,Wisconsin,6044570
2022/10/15,Colgate,Arizona St.,6045495
2022/10/15,UNLV,Alas. Anchorage,6048401
2022/10/15,Denver,Massachusetts,6044571
2022/10/15,American Int'l,Niagara,6044569
2022/10/16,Northern Mich.,Notre Dame,6044583
2022/10/16,Boston U.,Michigan,6044584
2022/10/18,Rensselaer,Canisius,6044585
2022/10/18,Boston College,Northeastern,6044586
2022/10/18,New Hampshire,Merrimack,6044588
2022/10/18,Holy Cross,American Int'l,6044589
2022/10/18,Mercyhurst,Fredonia,6044587
2022/10/20,St. Thomas (MN),Penn St.,6044591
2022/10/20,RIT,Air Force,6044592
2022/10/20,Bentley,Ohio St.,6044590
2022/10/21,Colgate,Merrimack,6044606
2022/10/21,Bentley,Ohio St.,6044596
2022/10/21,Miami (OH),Canisius,6044600
2022/10/21,Mercyhurst,Clarkson,6044601
2022/10/21,St. Thomas (MN),Penn St.,6044602
2022/10/21,Army West Point,New Hampshire,6044603
2022/10/21,Western Mich.,Notre Dame,6044594
2022/10/21,Alas. Anchorage,Northern Mich.,6044611
2022/10/21,Bemidji St.,Michigan Tech,6044609
2022/10/21,Michigan,Lake Superior St.,6044608
2022/10/21,Sacred Heart,Niagara,6044613
2022/10/21,North Dakota,Minnesota,6044593
2022/10/21,Wisconsin,Minn. Duluth,6044604
2022/10/21,Alas. Fairbanks,Omaha,6044610
2022/10/21,Minnesota St.,St. Cloud St.,6044612
2022/10/21,Providence,Denver,6044605
2022/10/21,RIT,Air Force,6044607
2022/10/21,Colorado Col.,Arizona St.,6044597
2022/10/21,UConn,Boston U.,6044598
2022/10/21,Union (NY),Massachusetts,6044599
2022/10/21,LIU,Michigan St.,6044595
2022/10/22,Miami (OH),Canisius,6044621
2022/10/22,Sacred Heart,Niagara,6044622
2022/10/22,Notre Dame,Western Mich.,6044617
2022/10/22,Michigan,Lake Superior St.,6044626
2022/10/22,Bemidji St.,Michigan Tech,6044627
2022/10/22,Alas. Anchorage,Northern Mich.,6044628
2022/10/22,Wisconsin,Minn. Duluth,6044623
2022/10/22,Union (NY),Massachusetts,6044620
2022/10/22,Minnesota St.,St. Cloud St.,6044625
2022/10/22,Quinnipiac,Maine,6044630
2022/10/22,UMass Lowell,Northeastern,6044631
2022/10/22,Holy Cross,Vermont,6044632
2022/10/22,Colgate,Merrimack,6044633
2022/10/22,Mercyhurst,Clarkson,6044634
2022/10/22,Providence,Denver,6044624
2022/10/22,North Dakota,Minnesota,6044614
2022/10/22,Colorado Col.,Arizona St.,6044618
2022/10/22,LIU,Michigan St.,6044616
2022/10/22,UConn,Boston U.,6044619
2022/10/22,Lindenwood,American Int'l,6044615
2022/10/23,New Hampshire,Boston College,6044636
2022/10/23,Alas. Fairbanks,Omaha,6044637
2022/10/23,Quinnipiac,Maine,6044638
2022/10/23,Lindenwood,American Int'l,6044635
2022/10/27,Boston College,UConn,6044639
2022/10/28,Minnesota,Ohio St.,6044644
2022/10/28,Union (NY),Rensselaer,6044654
2022/10/28,Holy Cross,RIT,6044655
2022/10/28,Vermont,Colgate,6044646
2022/10/28,Merrimack,Massachusetts,6044647
2022/10/28,Canisius,Sacred Heart,6044648
2022/10/28,Northeastern,Maine,6044649
2022/10/28,Clarkson,Lake Superior St.,6044650
2022/10/28,Dartmouth,Harvard,6044651
2022/10/28,American Int'l,Army West Point,6044652
2022/10/28,Denver,Miami (OH),6044657
2022/10/28,Lindenwood,Bentley,6044656
2022/10/28,St. Lawrence,Michigan Tech,6044658
2022/10/28,St. Thomas (MN),Ferris St.,6044661
2022/10/28,Alas. Fairbanks,Northern Mich.,6044662
2022/10/28,Michigan St.,Notre Dame,6044640
2022/10/28,Mercyhurst,Niagara,6044664
2022/10/28,Omaha,LIU,6044665
2022/10/28,Cornell,Minn. Duluth,6044653
2022/10/28,Penn St.,Wisconsin,6044645
2022/10/28,Bowling Green,Minnesota St.,6044659
2022/10/28,St. Cloud St.,Bemidji St.,6044660
2022/10/28,Air Force,Colorado Col.,6044663
2022/10/28,Boston U.,UMass Lowell,6044642
2022/10/28,Providence,New Hampshire,6044643
2022/10/28,Western Mich.,Michigan,6044641
2022/10/29,Vermont,Colgate,6044670
2022/10/29,Canisius,Sacred Heart,6044673
2022/10/29,Lindenwood,Bentley,6044674
2022/10/29,Minnesota,Ohio St.,6044668
2022/10/29,Denver,Miami (OH),6044675
2022/10/29,Michigan,Western Mich.,6044671
2022/10/29,Michigan St.,Notre Dame,6044667
2022/10/29,St. Lawrence,Michigan Tech,6044676
2022/10/29,St. Thomas (MN),Ferris St.,6044678
2022/10/29,Alas. Fairbanks,Northern Mich.,6044679
2022/10/29,Clarkson,Lake Superior St.,6044683
2022/10/29,Holy Cross,RIT,6044688
2022/10/29,New Hampshire,Providence,6044666
2022/10/29,Brown,Yale,6044689
2022/10/29,Northeastern,Maine,6044682
2022/10/29,Massachusetts,Merrimack,6044687
2022/10/29,Rensselaer,Union (NY),6044685
2022/10/29,Omaha,LIU,6044681
2022/10/29,Niagara,Mercyhurst,6044690
2022/10/29,Bowling Green,Minnesota St.,6044677
2022/10/29,Bemidji St.,St. Cloud St.,6044680
2022/10/29,Princeton,Harvard,6044684
2022/10/29,Cornell,Minn. Duluth,6044686
2022/10/29,Penn St.,Wisconsin,6044669
2022/10/29,Colorado Col.,Air Force,6044691
2022/10/29,Arizona St.,North Dakota,6044692
2022/10/29,UMass Lowell,Boston U.,6044672
2022/10/30,Dartmouth,Army West Point,6044693
2022/10/30,Yale,Brown,6044694
2022/11/03,Boston College,Merrimack,6044695
2022/11/04,Yale,Dartmouth,6044710
2022/11/04,Massachusetts,Providence,6044697
2022/11/04,Holy Cross,Canisius,6044701
2022/11/04,Rensselaer,St. Lawrence,6044702
2022/11/04,Union (NY),Clarkson,6044703
2022/11/04,Brown,Harvard,6044704
2022/11/04,Lindenwood,Army West Point,6044705
2022/11/04,Cornell,Princeton,6044706
2022/11/04,Michigan,Penn St.,6044707
2022/11/04,New Hampshire,Northeastern,6044708
2022/11/04,Colgate,Quinnipiac,6045496
2022/11/04,Sacred Heart,Mercyhurst,6044711
2022/11/04,Niagara,Bentley,6044712
2022/11/04,Maine,UConn,6044699
2022/11/04,Michigan Tech,Bowling Green,6044714
2022/11/04,Northern Mich.,Lake Superior St.,6044715
2022/11/04,Vermont,UMass Lowell,6081488
2022/11/04,Notre Dame,Minnesota,6044696
2022/11/04,Ferris St.,Bemidji St.,6044716
2022/11/04,North Dakota,Omaha,6044717
2022/11/04,Minnesota St.,St. Thomas (MN),6044718
2022/11/04,St. Cloud St.,Denver,6044709
2022/11/04,Alas. Anchorage,Air Force,6044713
2022/11/04,Minn. Duluth,Colorado Col.,6044720
2022/11/04,Miami (OH),Western Mich.,6044700
2022/11/04,Wisconsin,Michigan St.,6044698
2022/11/05,Merrimack,Boston College,6044740
2022/11/05,RIT,American Int'l,6044728
2022/11/05,Holy Cross,Canisius,6044729
2022/11/05,Lindenwood,Army West Point,6044730
2022/11/05,Maine,UConn,6044725
2022/11/05,Sacred Heart,Mercyhurst,6044731
2022/11/05,Brown,Dartmouth,6044732
2022/11/05,Niagara,Bentley,6044721
2022/11/05,Vermont,UMass Lowell,6044734
2022/11/05,Northern Mich.,Lake Superior St.,6044737
2022/11/05,Yale,Harvard,6044742
2022/11/05,Cornell,Quinnipiac,6048421
2022/11/05,Northeastern,New Hampshire,6044745
2022/11/05,Colgate,Princeton,6044743
2022/11/05,Rensselaer,Clarkson,6044741
2022/11/05,Providence,Massachusetts,6044727
2022/11/05,Alas. Anchorage,Air Force,6044733
2022/11/05,St. Thomas (MN),Minnesota St.,6044738
2022/11/05,Ferris St.,Bemidji St.,6044739
2022/11/05,Michigan Tech,Bowling Green,6044746
2022/11/05,Union (NY),St. Lawrence,6044748
2022/11/05,Minn. Duluth,Colorado Col.,6044735
2022/11/05,Notre Dame,Minnesota,6044722
2022/11/05,St. Cloud St.,Denver,6044736
2022/11/05,North Dakota,Omaha,6044747
2022/11/05,Wisconsin,Michigan St.,6044724
2022/11/05,Miami (OH),Western Mich.,6044726
2022/11/05,Michigan,Penn St.,6044723
2022/11/06,RIT,American Int'l,6044749
2022/11/10,Penn St.,Minnesota,6044750
2022/11/10,Ohio St.,Michigan St.,6044751
2022/11/11,UConn,Providence,6081900
2022/11/11,New Hampshire,Vermont,6044763
2022/11/11,Harvard,Rensselaer,6044769
2022/11/11,Sacred Heart,RIT,6044767
2022/11/11,Quinnipiac,Brown,6044766
2022/11/11,Dartmouth,Union (NY),6044764
2022/11/11,Princeton,Yale,6044768
2022/11/11,Boston College,Northeastern,6044762
2022/11/11,Colgate,Clarkson,6044761
2022/11/11,Cornell,St. Lawrence,6044760
2022/11/11,American Int'l,Canisius,6044759
2022/11/11,Boston U.,Massachusetts,6044758
2022/11/11,Colorado Col.,Miami (OH),6044770
2022/11/11,St. Thomas (MN),Bowling Green,6044772
2022/11/11,Lake Superior St.,Michigan Tech,6044774
2022/11/11,Bemidji St.,Northern Mich.,6044775
2022/11/11,Michigan,Notre Dame,6044757
2022/11/11,Penn St.,Minnesota,6044752
2022/11/11,LIU,Wisconsin,6044756
2022/11/11,Omaha,Minn. Duluth,6044765
2022/11/11,Denver,North Dakota,6044773
2022/11/11,Western Mich.,St. Cloud St.,6044776
2022/11/11,Alas. Anchorage,Arizona St.,6045506
2022/11/11,Bentley,Air Force,6044771
2022/11/11,Maine,Merrimack,6044755
2022/11/11,Ohio St.,Michigan St.,6044754
2022/11/12,American Int'l,Canisius,6044783
2022/11/12,Providence,UConn,6044777
2022/11/12,Sacred Heart,RIT,6044784
2022/11/12,Colorado Col.,Miami (OH),6044785
2022/11/12,Michigan,Notre Dame,6044781
2022/11/12,Lake Superior St.,Michigan Tech,6044789
2022/11/12,Bemidji St.,Northern Mich.,6044790
2022/11/12,Colgate,St. Lawrence,6044792
2022/11/12,New Hampshire,Vermont,6044794
2022/11/12,Quinnipiac,Yale,6048422
2022/11/12,Dartmouth,Rensselaer,6044797
2022/11/12,Princeton,Brown,6044796
2022/11/12,Harvard,Union (NY),6044795
2022/11/12,Northeastern,Boston College,6044791
2022/11/12,Cornell,Clarkson,6044793
2022/11/12,Western Mich.,St. Cloud St.,6044787
2022/11/12,Omaha,Minn. Duluth,6044786
2022/11/12,Massachusetts,Boston U.,6044780
2022/11/12,Denver,North Dakota,6044788
