Team,Allowed_within_1s,Allowed_within_2s,Allowed_within_3s,Allowed_within_4s,Allowed_within_5s,Allowed_within_6s,Allowed_within_7s,Allowed_within_8s,Allowed_within_9s,Allowed_within_10s,Total_Goals_Allowed,Allowed_within_1s_pct,Allowed_within_2s_pct,Allowed_within_3s_pct,Allowed_within_4s_pct,Allowed_within_5s_pct,Allowed_within_6s_pct,Allowed_within_7s_pct,Allowed_within_8s_pct,Allowed_within_9s_pct,Allowed_within_10s_pct,Total_Goals,Scored_within_1s,Scored_within_1s_pct,Scored_within_2s,Scored_within_2s_pct,Scored_within_3s,Scored_within_3s_pct,Scored_within_4s,Scored_within_4s_pct,Scored_within_5s,Scored_within_5s_pct,Scored_within_6s,Scored_within_6s_pct,Scored_within_7s,Scored_within_7s_pct,Scored_within_8s,Scored_within_8s_pct,Scored_within_9s,Scored_within_9s_pct,Scored_within_10s,Scored_within_10s_pct
Rensselaer,0,0,1,4,6,6,8,9,12,12,93,0.0,0.0,0.010752688172043012,0.043010752688172046,0.06451612903225806,0.06451612903225806,0.08602150537634409,0.0967741935483871,0.12903225806451613,0.12903225806451613,77.0,0.0,0.0,1.0,0.012987012987012988,1.0,0.012987012987012988,2.0,0.025974025974025976,3.0,0.03896103896103896,3.0,0.03896103896103896,6.0,0.07792207792207792,7.0,0.09090909090909091,7.0,0.09090909090909091,8.0,0.1038961038961039
Robert Morris,0,0,2,2,2,2,4,4,5,5,79,0.0,0.0,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.02531645569620253,0.05063291139240506,0.05063291139240506,0.06329113924050633,0.06329113924050633,86.0,0.0,0.0,0.0,0.0,1.0,0.011627906976744186,4.0,0.046511627906976744,6.0,0.06976744186046512,7.0,0.08139534883720931,8.0,0.09302325581395349,9.0,0.10465116279069768,10.0,0.11627906976744186,11.0,0.12790697674418605
Sacred Heart,0,0,0,3,3,3,3,3,3,3,75,0.0,0.0,0.0,0.04,0.04,0.04,0.04,0.04,0.04,0.04,91.0,1.0,0.01098901098901099,1.0,0.01098901098901099,5.0,0.054945054945054944,6.0,0.06593406593406594,6.0,0.06593406593406594,6.0,0.06593406593406594,6.0,0.06593406593406594,8.0,0.08791208791208792,11.0,0.12087912087912088,11.0,0.12087912087912088
St Anselm,0,1,1,1,2,2,2,2,2,3,19,0.0,0.05263157894736842,0.05263157894736842,0.05263157894736842,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.10526315789473684,0.15789473684210525,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
St Cloud State,0,0,1,1,1,3,3,6,7,8,101,0.0,0.0,0.009900990099009901,0.009900990099009901,0.009900990099009901,0.0297029702970297,0.0297029702970297,0.0594059405940594,0.06930693069306931,0.07920792079207921,,,,,,,,,,,,,,,,,,,,,
St. Lawrence,0,0,0,0,1,1,2,4,4,5,68,0.0,0.0,0.0,0.0,0.014705882352941176,0.014705882352941176,0.029411764705882353,0.058823529411764705,0.058823529411764705,0.07352941176470588,49.0,0.0,0.0,1.0,0.02040816326530612,1.0,0.02040816326530612,1.0,0.02040816326530612,2.0,0.04081632653061224,2.0,0.04081632653061224,2.0,0.04081632653061224,2.0,0.04081632653061224,3.0,0.061224489795918366,3.0,0.061224489795918366
St. Thomas,0,0,1,2,4,5,7,8,9,10,72,0.0,0.0,0.013888888888888888,0.027777777777777776,0.05555555555555555,0.06944444444444445,0.09722222222222222,0.1111111111111111,0.125,0.1388888888888889,75.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.013333333333333334,2.0,0.02666666666666667,2.0,0.02666666666666667,2.0,0.02666666666666667,3.0,0.04,4.0,0.05333333333333334,5.0,0.06666666666666667
Stonehill,0,0,0,1,3,3,3,4,6,9,92,0.0,0.0,0.0,0.010869565217391304,0.03260869565217391,0.03260869565217391,0.03260869565217391,0.043478260869565216,0.06521739130434782,0.09782608695652174,57.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017543859649122806,2.0,0.03508771929824561,2.0,0.03508771929824561,3.0,0.05263157894736842,3.0,0.05263157894736842,5.0,0.08771929824561403
Union,0,0,0,2,2,3,4,4,6,6,73,0.0,0.0,0.0,0.0273972602739726,0.0273972602739726,0.0410958904109589,0.0547945205479452,0.0547945205479452,0.0821917808219178,0.0821917808219178,78.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01282051282051282,1.0,0.01282051282051282,2.0,0.02564102564102564,3.0,0.038461538461538464,5.0,0.0641025641025641,5.0,0.0641025641025641,5.0,0.0641025641025641
Vermont,0,1,1,2,3,5,5,6,7,7,75,0.0,0.013333333333333334,0.013333333333333334,0.02666666666666667,0.04,0.06666666666666667,0.06666666666666667,0.08,0.09333333333333334,0.09333333333333334,73.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0136986301369863,4.0,0.0547945205479452,4.0,0.0547945205479452,5.0,0.0684931506849315,5.0,0.0684931506849315,7.0,0.0958904109589041,9.0,0.1232876712328767
Western Michigan,0,1,1,1,1,1,1,1,1,1,42,0.0,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,0.023809523809523808,80.0,0.0,0.0,0.0,0.0,1.0,0.0125,1.0,0.0125,3.0,0.0375,4.0,0.05,5.0,0.0625,5.0,0.0625,8.0,0.1,10.0,0.125
Wisconsin,0,0,2,2,4,5,6,6,8,9,76,0.0,0.0,0.02631578947368421,0.02631578947368421,0.05263157894736842,0.06578947368421052,0.07894736842105263,0.07894736842105263,0.10526315789473684,0.11842105263157894,79.0,0.0,0.0,1.0,0.012658227848101266,2.0,0.02531645569620253,3.0,0.0379746835443038,4.0,0.05063291139240506,5.0,0.06329113924050633,11.0,0.13924050632911392,11.0,0.13924050632911392,13.0,0.16455696202531644,15.0,0.189873417721519
Yale,0,0,1,2,3,3,4,6,10,10,77,0.0,0.0,0.012987012987012988,0.025974025974025976,0.03896103896103896,0.03896103896103896,0.05194805194805195,0.07792207792207792,0.12987012987012986,0.12987012987012986,47.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.02127659574468085,1.0,0.02127659574468085,1.0,0.02127659574468085,2.0,0.0425531914893617,3.0,0.06382978723404255,3.0,0.06382978723404255,3.0,0.06382978723404255
